VendorID ,tpep_pickup_datetime ,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID ,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,12/1/2023 1:03,12/1/2023 1:10,3,1.19,1,N,142,239,1,9.3,1,0.5,1.43,0,1,15.73,2.5,0
2,12/1/2023 1:29,12/1/2023 1:31,1,0.97,1,N,75,74,1,6.5,1,0.5,1.8,0,1,10.8,0,0
1,12/1/2023 1:42,12/1/2023 1:59,1,5,1,N,144,89,1,22.6,3.5,0.5,0,0,1,27.6,2.5,0
2,12/1/2023 1:30,12/1/2023 1:40,1,2.18,1,N,161,238,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,12/1/2023 1:55,12/1/2023 2:15,1,10.91,1,N,230,220,1,42.9,1,0.5,10.22,3.18,1,61.3,2.5,0
2,12/1/2023 1:10,12/1/2023 1:24,1,2.95,1,N,246,211,1,16.3,1,0.5,4.26,0,1,25.56,2.5,0
2,12/1/2023 1:59,12/1/2023 2:10,1,1.91,1,N,148,249,1,12.8,1,0.5,3,0,1,20.8,2.5,0
2,12/1/2023 1:30,12/1/2023 1:32,1,0.44,1,N,246,246,2,4.4,1,0.5,0,0,1,9.4,2.5,0
2,12/1/2023 1:32,12/1/2023 1:39,1,0.74,1,N,87,87,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
2,12/1/2023 1:27,12/1/2023 1:37,1,1.49,1,N,249,231,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,12/1/2023 1:12,12/1/2023 1:22,1,2.23,1,N,87,33,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,12/1/2023 1:43,12/1/2023 1:51,1,1.57,1,N,107,148,4,-10.7,-1,-0.5,0,0,-1,-15.7,-2.5,0
2,12/1/2023 1:43,12/1/2023 1:51,1,1.57,1,N,107,148,4,10.7,1,0.5,0,0,1,15.7,2.5,0
2,12/1/2023 1:39,12/1/2023 1:49,1,2.11,1,N,249,246,1,12.8,1,0.5,3,0,1,20.8,2.5,0
1,12/1/2023 1:43,12/1/2023 1:54,1,3.4,1,N,79,141,1,15.6,3.5,0.5,4.1,0,1,24.7,2.5,0
2,12/1/2023 1:01,12/1/2023 1:13,4,3.98,1,N,48,166,1,17.7,1,0.5,4.54,0,1,27.24,2.5,0
2,12/1/2023 1:23,12/1/2023 1:33,3,2.5,1,N,238,74,1,13.5,1,0.5,0,0,1,18.5,2.5,0
2,12/1/2023 1:29,12/1/2023 1:36,1,1.3,1,N,249,211,2,8.6,1,0.5,0,0,1,13.6,2.5,0
2,12/1/2023 1:39,12/1/2023 1:42,1,0.16,1,N,211,211,1,4.4,1,0.5,40,0,1,49.4,2.5,0
1,12/1/2023 1:01,12/1/2023 1:09,1,1.4,1,N,114,158,1,10,3.5,0.5,3,0,1,18,2.5,0
1,12/1/2023 1:14,12/1/2023 1:18,1,1,1,N,90,246,1,6.5,3.5,0.5,0,0,1,11.5,2.5,0
1,12/1/2023 1:21,12/1/2023 1:26,1,0.8,1,N,246,234,1,7.2,3.5,0.5,3.65,0,1,15.85,2.5,0
1,12/1/2023 1:43,12/1/2023 2:15,1,9,1,N,262,18,1,42.2,3.5,0.5,5,0,1,52.2,2.5,0
1,12/1/2023 1:54,12/1/2023 1:58,1,0.7,1,N,234,137,1,6.5,3.5,0.5,1.58,0,1,13.08,2.5,0
2,12/1/2023 1:11,12/1/2023 1:20,1,5,1,N,74,47,2,20.5,1,0.5,0,0,1,23,0,0
2,12/1/2023 1:04,12/1/2023 1:21,1,2.04,1,N,246,113,1,16.3,1,0.5,4.26,0,1,25.56,2.5,0
2,12/1/2023 1:35,12/1/2023 1:42,1,0.95,1,N,79,249,1,8.6,1,0.5,3.4,0,1,17,2.5,0
